	SALL4 sum gb	SALL4 sum promoter	ATACseq sum gb	ATACseq sum promoter	H3K27ac sum gb	H3K27ac sum promoter
ENSMUSG00000110097	3.329022074121325	3.1354008872145798	3.160084008824993	3.0069898319835606	3.331932666921517	3.0871631550077607
ENSMUSG00000031570	3.4399602563345435	3.314659892121552	3.675493483030946	4.221670200514589	3.4572038228748987	3.646355931593254
ENSMUSG00000055923	4.364146215661584	3.461466011005433	4.460864931304857	4.196041231460251	4.399920213125671	3.716249861052282
ENSMUSG00000075534	3.695291631078899	3.28166502215464	3.727450322184901	3.375940194314692	3.6451969574971	3.0453253263180526
ENSMUSG00000057067	3.804482459920876	3.2627199684538915	3.3851501142746883	2.817288668236702	3.4291250062796443	2.948987365702593
ENSMUSG00000106350	4.5253640365704415	3.0861795491853288	4.722430710723877	3.705466681450461	4.477813402577001	3.4529263041380744
ENSMUSG00000054920	4.659054676456346	3.340952147041467	4.699797501920799	4.103851353951037	4.5952828801384005	3.50285232915296
ENSMUSG00000020945	3.619874219033371	3.17595226258085	3.716283707132985	3.498235269554582	3.566741156435348	3.102290460933959
ENSMUSG00000038473	5.225559101526168	3.262087047466142	5.233363454473638	3.7867409194722734	5.188614244481955	3.091604534267149
ENSMUSG00000035576	4.343092031081013	3.281017450404363	4.598321609503887	3.9948302585606728	4.41691289592804	3.3078504957392183
ENSMUSG00000086939	4.001277983652816	3.2735830298692985	4.029988892318025	3.640758819809838	3.868964605184957	3.248496190388252
ENSMUSG00000056418	3.084975240445849	3.284772770530465	3.170048154337584	4.045330803841962	2.982754117096205	3.554834277868701
ENSMUSG00000107022	3.8711530313625886	3.0328084714512604	3.539720748245403	2.866456415121623	3.5392935054046646	2.9456225551132054
ENSMUSG00000107071	3.961941776979307	3.1021134126284875	4.397289469706616	3.3604750739689138	3.99979344386124	3.240592925128964
ENSMUSG00000049037	3.954453010815173	3.0933924977243463	3.988930578882613	3.405860105105653	3.92940551347172	3.240740769848037
ENSMUSG00000020720	4.330953937741869	3.438436860691858	4.569024226199854	4.135249083958581	4.366366915612642	3.625043506487989
