	SALL4 sum gb	SALL4 sum promoter	ATACseq sum gb	ATACseq sum promoter	H3K27ac sum gb	H3K27ac sum promoter
ENSMUSG00000029843	-0.32241591811180115	-0.020467223599553108	0.5956804752349854	-0.14643339812755585	0.6331981420516968	0.02031462825834751
ENSMUSG00000039146	0.06063299626111984	-0.024415962398052216	-0.47262269258499146	-0.20562545955181122	-0.347513347864151	0.03778821974992752
ENSMUSG00000078706	-0.16122297942638397	-0.06618707627058029	0.4094497263431549	0.07526657730340958	0.12559360265731812	0.2562846541404724
ENSMUSG00000021998	-0.41145506501197815	-0.026954760774970055	0.6657750606536865	-0.09227844327688217	0.7776622772216797	0.05331861972808838
ENSMUSG00000044881	0.06516876816749573	-0.11731778085231781	-0.38971298933029175	0.237816721200943	-0.42270877957344055	0.5155054330825806
ENSMUSG00000055839	0.00970627460628748	-0.103705495595932	-0.07466158270835876	0.2473657727241516	-0.17140285670757294	0.48596563935279846
ENSMUSG00000032384	-0.35928890109062195	-0.09478984773159027	0.47955065965652466	0.1828778088092804	0.9446233510971069	0.36052796244621277
ENSMUSG00000044646	-0.7215229272842407	-0.03354662284255028	1.3063454627990723	-0.045336246490478516	1.2315077781677246	-0.015237560495734215
ENSMUSG00000049526	0.016930006444454193	-0.06280315667390823	-0.3040425181388855	-0.23724298179149628	-0.15788689255714417	0.04873746261000633
ENSMUSG00000026095	-0.03018994629383087	-0.08450023829936981	-0.21989503502845764	0.09238699823617935	0.0685344859957695	0.4429467022418976
ENSMUSG00000096265	3.5393052101135254	2.357069730758667	-3.5145766735076904	0.5692247748374939	-2.4814341068267822	-1.4078296422958374
ENSMUSG00000113662	0.10825397819280624	-0.10748858749866486	-0.4244421124458313	0.1662619262933731	-0.6985765695571899	0.5033578276634216
ENSMUSG00000091573	0.12335866689682007	-0.0782460942864418	-0.4239875078201294	-0.24852491915225983	-0.19433541595935822	0.05843699350953102
ENSMUSG00000071649	-0.005745758302509785	-0.08871102333068848	-0.14190617203712463	0.17332172393798828	-0.06357767432928085	0.38411805033683777
